gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022301095,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,107.7,109.7,109.9,111.4,-2.2,-1.7,0.689,2.58,20.1,0.317,0.83,0.542,11.437,11.7,0.49,0.509,1.0,0.199,105.7,104.0,86.67,103.0,0.49
0022301176,1610612748,Miami,Heat,MIA,heat,240:00,128.7,127.6,106.5,106.2,22.2,21.4,0.822,5.29,26.4,0.205,0.805,0.494,7.208,7.1,0.622,0.65,1.0,0.196,96.9,97.5,81.25,98.0,0.616
0022301176,1610612761,Toronto,Raptors,TOR,raptors,240:00,106.5,106.2,128.7,127.6,-22.2,-21.4,0.622,1.35,18.2,0.195,0.795,0.506,17.584,17.5,0.545,0.594,1.0,0.201,96.9,97.5,81.25,97.0,0.384
0022301108,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,125.9,127.9,79.3,81.0,46.5,46.9,0.755,4.11,24.4,0.235,0.759,0.514,8.516,8.7,0.615,0.629,1.0,0.201,106.42,104.5,87.08,104.0,0.728
0022301108,1610612761,Toronto,Raptors,TOR,raptors,240:00,79.3,81.0,125.9,127.9,-46.5,-46.9,0.576,0.9,14.0,0.241,0.765,0.486,19.597,20.0,0.406,0.442,1.0,0.196,106.42,104.5,87.08,105.0,0.272
0022301183,1610612757,Portland,Trail Blazers,POR,blazers,240:00,108.3,109.2,116.2,118.4,-7.9,-9.2,0.541,2.86,14.8,0.322,0.714,0.5,7.088,7.1,0.453,0.496,1.0,0.2,99.28,98.0,81.67,98.0,0.441
0022301183,1610612745,Houston,Rockets,HOU,rockets,240:00,116.2,118.4,108.3,109.2,7.9,9.2,0.568,2.78,18.5,0.286,0.678,0.5,9.018,9.2,0.538,0.575,1.0,0.199,99.28,98.0,81.67,98.0,0.559
0022301016,1610612744,Golden State,Warriors,GSW,warriors,240:00,107.7,104.7,117.1,117.1,-9.4,-12.4,0.558,1.71,15.9,0.385,0.755,0.551,13.587,13.2,0.472,0.491,1.0,0.2,104.04,105.5,87.92,106.0,0.429
0022301016,1610612754,Indiana,Pacers,IND,pacers,240:00,117.1,117.1,107.7,104.7,9.4,12.4,0.667,2.91,21.5,0.245,0.615,0.449,10.472,10.5,0.561,0.58,1.0,0.198,104.04,105.5,87.92,105.0,0.571
0022300990,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,131.0,134.7,103.3,105.0,27.7,29.7,0.75,4.33,26.6,0.154,0.759,0.515,8.671,8.9,0.661,0.688,1.0,0.193,102.7,100.5,83.75,101.0,0.618
0022300990,1610612737,Atlanta,Hawks,ATL,hawks,240:00,103.3,105.0,131.0,134.7,-27.7,-29.7,0.762,3.56,22.0,0.241,0.846,0.485,8.858,9.0,0.474,0.502,1.0,0.199,102.7,100.5,83.75,100.0,0.382
0022301061,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,104.9,108.1,100.6,103.1,4.3,5.0,0.611,3.14,16.3,0.267,0.854,0.528,6.865,7.1,0.44,0.505,1.0,0.197,100.66,98.0,81.67,99.0,0.562
0022301061,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,100.6,103.1,104.9,108.1,-4.3,-5.0,0.553,1.5,16.8,0.146,0.733,0.472,14.09,14.4,0.549,0.553,1.0,0.199,100.66,98.0,81.67,97.0,0.438
0022300983,1610612754,Indiana,Pacers,IND,pacers,240:00,108.4,109.6,111.0,117.4,-2.6,-7.8,0.667,2.55,20.4,0.373,0.689,0.521,11.574,11.7,0.511,0.525,1.0,0.2,96.18,93.0,77.5,94.0,0.476
0022300983,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,111.0,117.4,108.4,109.6,2.6,7.8,0.711,1.93,20.3,0.311,0.627,0.479,14.386,15.2,0.55,0.585,1.0,0.199,96.18,93.0,77.5,92.0,0.524
