GAME_DATE,team1,elo1_pre,elo2_pre
1947-01-11,TRH,1266.952,1445.0814
1947-01-12,CHS,1338.1714,1315.9115
1947-01-12,STB,1364.2407,1216.5398
1947-01-12,PHW,1315.9115,1338.1714
1947-01-12,PIT,1216.5398,1364.2407
1947-01-13,PIT,1212.5773,1321.4895
1947-01-13,NYK,1321.4895,1212.5773
1947-01-14,CLR,1290.0171,1273.0671
1947-01-14,TRH,1263.2552,1312.5405
1947-01-14,PRO,1273.0671,1290.0171
1947-01-14,PHW,1312.5405,1263.2552
1947-01-15,DTF,1261.5048,1341.5424
1947-01-15,NYK,1326.8982,1448.7782
1947-01-15,PIT,1207.1686,1282.308
1947-01-15,CHS,1341.5424,1261.5048
1947-01-15,WSC,1448.7782,1326.8982
1947-01-15,PRO,1282.308,1207.1686
1947-01-16,BOS,1207.0247,1453.2283
1947-01-16,PHW,1338.6333,1332.5114
1947-01-16,STB,1368.2032,1280.7762
1947-01-16,WSC,1453.2283,1207.0247
1947-01-16,CHS,1332.5114,1338.6333
1947-01-16,CLR,1280.7762,1368.2032
1947-01-17,TRH,1237.1625,1270.5358
1947-01-17,DTF,1270.5358,1237.1625
1947-01-18,NYK,1322.4481,1222.4307
1947-01-18,WSC,1437.8223,1343.4651
1947-01-18,BOS,1222.4307,1322.4481
1947-01-18,CHS,1343.4651,1437.8223
1947-01-19,CLR,1291.8809,1300.2828
1947-01-19,STB,1357.0986,1271.7136
1947-01-19,NYK,1300.2828,1291.8809
1947-01-19,PRO,1271.7136,1357.0986
1947-01-20,BOS,1244.5959,1337.7271
1947-01-20,PIT,1217.7629,1283.5742
1947-01-20,CHS,1337.7271,1244.5959
1947-01-20,DTF,1283.5742,1217.7629
1947-01-21,PHW,1327.6796,1223.8215
1947-01-21,TRH,1224.124,1363.3656
1947-01-21,BOS,1223.8215,1327.6796
1947-01-21,STB,1363.3656,1224.124
1947-01-22,DTF,1277.3961,1297.6993
1947-01-22,NYK,1294.4644,1358.5015
1947-01-22,WSC,1443.5603,1333.3901
1947-01-22,CLR,1297.6993,1277.3961
1947-01-22,CHS,1358.5015,1294.4644
1947-01-22,PHW,1333.3901,1443.5603
1947-01-23,BOS,1218.111,1223.941
1947-01-23,CHS,1349.4546,1265.4467
1947-01-23,PHW,1331.4896,1314.5339
1947-01-23,PIT,1223.941,1218.111
1947-01-23,PRO,1265.4467,1349.4546
1947-01-23,CLR,1314.5339,1331.4896
1947-01-24,TRH,1228.7662,1257.84
1947-01-24,PRO,1257.84,1228.7662
1947-01-25,DTF,1260.5615,1335.8369
1947-01-25,NYK,1303.5112,1222.9237
1947-01-25,WSC,1445.4608,1219.1283
1947-01-25,PHW,1335.8369,1260.5615
1947-01-25,BOS,1222.9237,1303.5112
1947-01-25,PIT,1219.1283,1445.4608
1947-01-26,CHS,1357.0613,1344.2861
1947-01-26,STB,1358.7234,1252.1123
1947-01-26,PHW,1344.2861,1357.0613
1947-01-26,DTF,1252.1123,1358.7234
1947-01-27,BOS,1236.2783,1448.0367
1947-01-27,PIT,1216.5524,1264.9603
1947-01-27,TRH,1221.6459,1310.1866
1947-01-27,WSC,1448.0367,1236.2783
1947-01-27,PRO,1264.9603,1216.5524
1947-01-27,CLR,1310.1866,1221.6459
1947-01-28,CLR,1318.2482,1213.5844
1947-01-28,TRH,1213.5844,1318.2482
1947-01-29,DTF,1249.2936,1257.5262
1947-01-29,NYK,1290.1566,1223.9865
1947-01-29,WSC,1459.4639,1224.8512
1947-01-29,PRO,1257.5262,1249.2936
1947-01-29,PIT,1223.9865,1290.1566
1947-01-29,BOS,1224.8512,1459.4639
1947-01-30,BOS,1222.5165,1220.8876
1947-01-30,PHW,1339.418,1293.2555
1947-01-30,STB,1361.5421,1271.6172
1947-01-30,PIT,1220.8876,1222.5165
1947-01-30,NYK,1293.2555,1339.418
1947-01-30,PRO,1271.6172,1361.5421
1947-01-31,TRH,1209.3862,1461.7986
1947-01-31,WSC,1461.7986,1209.3862
1947-02-01,NYK,1288.7175,1343.9559
1947-02-01,PRO,1291.0675,1211.9781
1947-02-01,STB,1342.0918,1322.4463
1947-02-01,PHW,1343.9559,1288.7175
1947-02-01,PIT,1211.9781,1291.0675
1947-02-01,CLR,1322.4463,1342.0918
1947-02-02,CHS,1361.9294,1225.045
1947-02-02,CLR,1311.7612,1446.1398
1947-02-02,DTF,1235.2026,1278.0945
1947-02-02,TRH,1225.045,1361.9294
1947-02-02,WSC,1446.1398,1311.7612
1947-02-02,NYK,1278.0945,1235.2026
1947-02-03,BOS,1231.4259,1354.579
1947-02-03,PIT,1205.5123,1352.7769
1947-02-03,PHW,1354.579,1231.4259
1947-02-03,STB,1352.7769,1205.5123
1947-02-04,PHW,1361.6659,1297.5333
1947-02-04,PRO,1297.5333,1361.6659
1947-02-05,DTF,1239.0707,1463.437
1947-02-05,NYK,1274.2264,1344.474
1947-02-05,PIT,1213.8152,1220.4349
1947-02-05,WSC,1463.437,1239.0707
1947-02-05,STB,1344.474,1274.2264
1947-02-05,TRH,1220.4349,1213.8152
1947-02-06,BOS,1224.339,1252.9094
1947-02-06,CHS,1366.5396,1206.1873
1947-02-06,PHW,1365.8291,1228.0629
1947-02-06,PRO,1293.3701,1365.791
1947-02-06,NYK,1252.9094,1224.339
1947-02-06,PIT,1206.1873,1366.5396
1947-02-06,TRH,1228.0629,1365.8291
1947-02-06,STB,1365.791,1293.3701
1947-02-08,DTF,1228.9501,1200.5582
1947-02-08,NYK,1249.8612,1222.8718
1947-02-08,PRO,1283.3506,1371.0201
1947-02-08,STB,1375.8105,1473.5576
1947-02-08,PIT,1200.5582,1228.9501
1947-02-08,TRH,1222.8718,1249.8612
1947-02-08,PHW,1371.0201,1283.3506
1947-02-08,WSC,1473.5576,1375.8105
1947-02-09,CHS,1372.1686,1479.1947
1947-02-09,CLR,1294.464,1233.483
1947-02-09,WSC,1479.1947,1372.1686
1947-02-09,DTF,1233.483,1294.464
1947-02-10,PIT,1196.0253,1463.5684
1947-02-10,WSC,1463.5684,1196.0253
1947-02-11,CLR,1282.8903,1292.6475
1947-02-11,PHW,1361.7233,1370.1735
1947-02-11,PRO,1292.6475,1282.8903
1947-02-11,STB,1370.1735,1361.7233
1947-02-12,DTF,1245.0568,1285.8755
1947-02-12,NYK,1260.5216,1450.6381
1947-02-12,PIT,1208.9556,1387.7949
1947-02-12,PRO,1285.8755,1245.0568
1947-02-12,WSC,1450.6381,1260.5216
1947-02-12,CHS,1387.7949,1208.9556
1947-02-13,BOS,1227.3872,1360.4482
1947-02-13,CHS,1399.3475,1272.8743
1947-02-13,PHW,1371.4485,1289.6622
1947-02-13,STB,1360.4482,1227.3872
1947-02-13,PRO,1272.8743,1399.3475
1947-02-13,CLR,1289.6622,1371.4485
1947-02-14,TRH,1212.2114,1197.403
1947-02-14,PIT,1197.403,1212.2114
1947-02-15,NYK,1269.0665,1284.1017
1947-02-15,PRO,1271.1272,1190.5342
1947-02-15,WSC,1442.0931,1377.009
1947-02-15,CLR,1284.1017,1269.0665
1947-02-15,PIT,1190.5342,1271.1272
1947-02-15,PHW,1377.009,1442.0931
1947-02-16,CHS,1401.0946,1239.058
1947-02-16,CLR,1294.3878,1371.8971
1947-02-16,DTF,1258.058,1258.7804
1947-02-16,STB,1348.7775,1219.0802
1947-02-16,BOS,1239.058,1401.0946
1947-02-16,PHW,1371.8971,1294.3878
1947-02-16,NYK,1258.7804,1258.058
1947-02-16,TRH,1219.0802,1348.7775
1947-02-17,PIT,1185.7968,1245.4514
1947-02-17,DTF,1245.4514,1185.7968
1947-02-18,CLR,1300.1989,1236.5378
1947-02-18,TRH,1214.0817,1353.776
1947-02-18,BOS,1236.5378,1300.1989
1947-02-18,STB,1353.776,1214.0817
1947-02-19,DTF,1240.0331,1231.0762
1947-02-19,NYK,1271.387,1275.8646
1947-02-19,WSC,1447.2051,1224.5254
1947-02-19,BOS,1231.0762,1240.0331
1947-02-19,PRO,1275.8646,1271.387
1947-02-19,TRH,1224.5254,1447.2051
1947-02-20,CHS,1403.6147,1228.9891
1947-02-20,PHW,1366.0861,1191.2151
1947-02-20,PRO,1287.4165,1449.432
1947-02-20,DTF,1228.9891,1403.6147
1947-02-20,PIT,1191.2151,1366.0861
1947-02-20,WSC,1449.432,1287.4165
1947-02-21,NYK,1259.8351,1187.9629
1947-02-21,STB,1343.3323,1393.3439
1947-02-21,TRH,1222.2985,1242.1201
1947-02-21,PIT,1187.9629,1259.8351
1947-02-21,CHS,1393.3439,1343.3323
1947-02-21,BOS,1242.1201,1222.2985
1947-02-22,PRO,1280.2942,1305.6605
1947-02-22,WSC,1456.5543,1178.0515
1947-02-22,CLR,1305.6605,1280.2942
1947-02-22,PIT,1178.0515,1456.5543
1947-02-23,BOS,1236.5012,1287.0493
1947-02-23,CHS,1387.5441,1269.7465
1947-02-23,CLR,1298.9054,1460.1313
1947-02-23,DTF,1239.26,1227.9174
1947-02-23,STB,1349.1321,1369.3383
1947-02-23,PRO,1287.0493,1236.5012
1947-02-23,NYK,1269.7465,1387.5441
1947-02-23,WSC,1460.1313,1298.9054
1947-02-23,TRH,1227.9174,1239.26
1947-02-23,PHW,1369.3383,1349.1321
1947-02-24,PIT,1174.4745,1364.2163
1947-02-24,WSC,1467.277,1222.6729
1947-02-24,PHW,1364.2163,1174.4745
1947-02-24,BOS,1222.6729,1467.277
1947-02-25,CLR,1291.7598,1354.254
1947-02-25,TRH,1221.7498,1300.8777
1947-02-25,STB,1354.254,1291.7598
1947-02-25,PRO,1300.8777,1221.7498
1947-02-26,DTF,1245.4276,1392.4084
1947-02-26,NYK,1264.8821,1470.8075
1947-02-26,PHW,1367.5853,1372.9569
1947-02-26,PIT,1171.1055,1273.0569
1947-02-26,CHS,1392.4084,1245.4276
1947-02-26,WSC,1470.8075,1264.8821
1947-02-26,STB,1372.9569,1367.5853
1947-02-26,CLR,1273.0569,1171.1055
1947-02-27,PRO,1284.1725,1252.7924
1947-02-27,NYK,1252.7924,1284.1725
1947-02-28,BOS,1219.1423,1289.8831
1947-02-28,TRH,1238.455,1374.6681
1947-02-28,CLR,1289.8831,1219.1423
1947-02-28,PHW,1374.6681,1238.455
1947-03-01,NYK,1266.6016,1248.7762
1947-03-01,PRO,1270.3633,1240.1516
1947-03-01,WSC,1482.8972,1226.672
1947-03-01,TRH,1248.7762,1266.6016
1947-03-01,DTF,1240.1516,1270.3633
1947-03-01,BOS,1226.672,1482.8972
1947-03-02,CHS,1397.6844,1365.8741
1947-03-02,CLR,1282.3534,1364.3468
1947-03-02,STB,1365.8741,1397.6844
1947-03-02,PHW,1364.3468,1282.3534
1947-03-03,PHW,1359.121,1240.4922
1947-03-03,PIT,1154.2793,1404.3984
1947-03-03,STB,1359.1602,1274.8582
1947-03-03,TRH,1240.4922,1359.121
1947-03-03,CHS,1404.3984,1154.2793
1947-03-03,PRO,1274.8582,1359.1602
1947-03-04,CLR,1287.5792,1273.0466
1947-03-04,PRO,1273.0466,1287.5792
1947-03-05,PIT,1151.3198,1236.5841
1947-03-05,WSC,1486.1029,1235.6567
1947-03-05,TRH,1236.5841,1151.3198
1947-03-05,DTF,1235.6567,1486.1029
1947-03-06,BOS,1223.4663,1231.4539
1947-03-06,CHS,1407.3579,1145.4227
1947-03-06,PHW,1363.0291,1274.8856
1947-03-06,DTF,1231.4539,1223.4663
1947-03-06,PIT,1145.4227,1407.3579
1947-03-06,NYK,1274.8856,1363.0291
1947-03-07,TRH,1242.4812,1490.3058
1947-03-07,WSC,1490.3058,1242.4812
1947-03-08,BOS,1230.1863,1234.9574
1947-03-08,CHS,1408.052,1268.217
1947-03-08,NYK,1283.3843,1224.7339
1947-03-08,WSC,1497.8296,1360.9717
1947-03-08,TRH,1234.9574,1230.1863
1947-03-08,PRO,1268.217,1408.052
1947-03-08,DTF,1224.7339,1283.3843
1947-03-08,STB,1360.9717,1497.8296
1947-03-09,CLR,1292.4088,1414.6996
1947-03-09,CHS,1414.6996,1292.4088
1947-03-10,BOS,1233.4753,1261.5695
1947-03-10,PRO,1261.5695,1233.4753
1947-03-11,CLR,1272.7921,1144.7286
1947-03-11,PHW,1354.5304,1499.2137
1947-03-11,TRH,1231.6683,1359.5875
1947-03-11,PIT,1144.7286,1272.7921
1947-03-11,WSC,1499.2137,1354.5304
1947-03-11,STB,1359.5875,1231.6683
1947-03-12,BOS,1214.7625,1241.6997
1947-03-12,DTF,1221.8929,1275.5651
1947-03-12,TRH,1241.6997,1214.7625
1947-03-12,CLR,1275.5651,1221.8929
1947-03-13,CHS,1434.3163,1503.921
1947-03-13,NYK,1286.2252,1349.5562
1947-03-13,PHW,1349.8231,1223.4777
1947-03-13,PRO,1280.2823,1232.9845
1947-03-13,WSC,1503.921,1434.3163
1947-03-13,STB,1349.5562,1286.2252
1947-03-13,BOS,1223.4777,1349.8231
1947-03-13,TRH,1232.9845,1280.2823
1947-03-14,CHS,1417.9938,1356.561
1947-03-14,PHW,1356.561,1417.9938
1947-03-15,PRO,1284.7959,1344.0581
1947-03-15,WSC,1520.2435,1291.7233
1947-03-15,STB,1344.0581,1284.7959
1947-03-15,NYK,1291.7233,1520.2435
1947-03-16,CLR,1286.2437,1288.9275
1947-03-16,DTF,1211.2144,1353.7579
1947-03-16,NYK,1288.9275,1286.2437
1947-03-16,PHW,1353.7579,1211.2144
1947-03-18,BOS,1216.7397,1270.1802
1947-03-18,DTF,1204.6473,1338.6482
1947-03-18,TRH,1228.4709,1141.9557
1947-03-18,CLR,1270.1802,1216.7397
1947-03-18,STB,1338.6482,1204.6473
1947-03-18,PIT,1141.9557,1228.4709
1947-03-19,CHS,1420.7969,1304.991
1947-03-19,PIT,1155.5035,1347.1998
1947-03-19,WSC,1523.0393,1290.2058
1947-03-19,NYK,1304.991,1420.7969
1947-03-19,STB,1347.1998,1155.5035
1947-03-19,PRO,1290.2058,1523.0393
1947-03-20,PHW,1360.325,1196.0957
1947-03-20,PRO,1289.3866,1281.6375
